id,str/sq,PES,Bond length [A],Energy [kcal / mol]
"(18, 58)",str,PES07,2.900000000558952,-9368.038460819369
"(18, 58)",str,PES08,3.000000000578226,-9367.91565739829
"(18, 58)",str,PES09,3.1000000005975004,-9367.772396821401
"(18, 58)",str,PES10,3.2000000006167744,-9365.3612746584
"(18, 58)",str,PES11,3.300000000636049,-9365.106475603454
"(18, 58)",str,PES12,3.4000000006553224,-9364.744213190781
"(18, 58)",str,PES13,3.5000000006745973,-9364.420690191366
"(18, 58)",str,PES14,3.600000000693871,-9364.094953810196
"(18, 58)",str,PES15,3.7000000007131453,-9363.840364296124
"(18, 58)",str,PES16,3.800000000732419,-9363.566152978847
"(18, 58)",str,PES17,3.9000000007516937,-9363.225678220628
"(18, 58)",str,PES18,4.000000000770967,-9362.890125628915
"(18, 58)",str,PES19,4.100000000790242,-9362.645579984104
"(18, 58)",str,PES20,4.200000000809517,-9362.350534813255
"(18, 58)",str,PES21,4.300000000828791,-9362.010969532746
"(18, 58)",str,PES22,4.400000000848064,-9361.73061450134
"(18, 58)",str,PES23,4.500000000867338,-9361.466191685462
"(18, 58)",str,PES24,4.600000000886612,-9352.186774164373
"(18, 58)",str,PES25,4.700000000905887,-9370.903128414275
"(18, 58)",str,PES26,4.800000000925163,-9364.724584834461
"(18, 58)",str,PES27,4.900000000944435,-9370.987267315137
"(18, 58)",str,PES28,5.000000000963711,-9354.830071793485
"(18, 61)",sq,PES07,1.700000000327661,-9205.693862402139
"(18, 61)",sq,PES06,1.8000000003469354,-9250.476109676454
"(18, 61)",sq,PES05,1.9000000003662096,-9265.459139479035
"(18, 61)",sq,PES04,2.000000000385483,-9393.106790617863
"(18, 61)",sq,PES03,2.100000000404758,-9279.61758647818
"(18, 61)",sq,PES02,2.200000000424032,-9273.255985447786
"(18, 61)",sq,PES01,2.300000000443306,-9253.378120635769
"(18, 61)",str,PES01,2.300000000443306,-9289.337698380397
"(18, 61)",str,PES02,2.4000000004625814,-9282.024436877922
"(18, 61)",str,PES03,2.5000000004818546,-9248.060734830542
"(18, 61)",str,PES04,2.6000000005011286,-9279.72118946031
"(18, 61)",str,PES05,2.7000000005204026,-9246.43363755098
"(18, 61)",str,PES06,2.800000000539678,-9280.761632034595
"(18, 61)",str,PES07,2.900000000558951,-9284.335115398066
"(18, 61)",str,PES08,3.000000000578226,-9204.935802928361
"(18, 61)",str,PES09,3.1000000005975,-9241.433352599623
"(18, 61)",str,PES10,3.200000000616775,-9267.73016885314
"(18, 61)",str,PES11,3.300000000636049,-9262.410437653778
"(18, 61)",str,PES12,3.400000000655323,-9264.776026141804
"(18, 61)",str,PES13,3.5000000006745973,-9228.194260509223
"(18, 61)",str,PES14,3.6000000006938717,-9268.788512453311
"(18, 61)",str,PES15,3.700000000713146,-9271.965939859805
"(18, 61)",str,PES16,3.800000000732419,-9237.706665555894
"(18, 61)",str,PES17,3.9000000007516937,-9242.09231629383
"(18, 61)",str,PES18,4.000000000770967,-9217.43709281111
"(18, 61)",str,PES19,4.100000000790242,-9184.834260243804
"(18, 61)",str,PES20,4.200000000809517,-9151.054695917133
"(18, 61)",str,PES21,4.300000000828791,-9116.102778754746
"(18, 61)",str,PES22,4.400000000848065,-9066.501416215762
"(18, 61)",str,PES23,4.500000000867338,-9060.651004933103
"(18, 61)",str,PES24,4.600000000886612,-9010.668191313687
"(18, 61)",str,PES25,4.700000000905888,-8995.31088053855
"(18, 61)",str,PES26,4.800000000925163,-8976.831202677278
"(18, 61)",str,PES27,4.900000000944435,-8959.231343539113
"(18, 61)",str,PES28,5.000000000963709,-8982.016541758532
"(20, 18)",sq,PES13,1.7000000003276614,-9440.190018040003
"(20, 18)",sq,PES12,1.8000000003469359,-9432.452420116659
"(20, 18)",sq,PES11,1.90000000036621,-9435.615545786457
"(20, 18)",sq,PES10,2.0000000003854845,-9417.490729559915
"(20, 18)",sq,PES09,2.1000000004047585,-9480.034904311342
"(20, 18)",sq,PES08,2.2000000004240325,-9463.725477791606
"(20, 18)",sq,PES07,2.300000000443307,-9497.296143848567
"(20, 18)",sq,PES06,2.4000000004625814,-9427.693923907533
"(20, 18)",sq,PES05,2.500000000481855,-9423.940050698844
"(20, 18)",sq,PES04,2.60000000050113,-9411.853211680827
"(20, 18)",sq,PES03,2.7000000005204035,-9415.129959409778
"(20, 18)",sq,PES02,2.800000000539678,-9389.089829038243
"(20, 18)",sq,PES01,2.900000000558952,-9366.234822411458
"(20, 18)",str,PES01,2.9000000005589515,-9256.97195248372
"(20, 18)",str,PES02,3.000000000578226,-9241.136270854415
"(20, 18)",str,PES03,3.1000000005975004,-9278.729383898924
"(20, 18)",str,PES04,3.2000000006167744,-9275.189440721704
"(20, 18)",str,PES05,3.300000000636049,-9206.986440335604
"(20, 18)",str,PES06,3.400000000655323,-9252.248932908366
"(20, 18)",str,PES07,3.500000000674597,-9284.633256143452
"(20, 18)",str,PES08,3.6000000006938717,-9322.932942150579
"(20, 18)",str,PES09,3.7000000007131457,-9408.43103184811
"(20, 18)",str,PES10,3.8000000007324193,-9428.189447364706
"(20, 18)",str,PES11,3.9000000007516937,-9426.95633211023
"(20, 18)",str,PES12,4.000000000770968,-9424.8405093554
"(20, 18)",str,PES13,4.100000000790242,-9421.789607097202
"(20, 18)",str,PES14,4.200000000809517,-9417.936504030522
"(20, 18)",str,PES15,4.30000000082879,-9413.728159068774
"(20, 18)",str,PES16,4.400000000848064,-9394.826385671806
"(20, 18)",str,PES17,4.500000000867338,-9392.803543431139
"(20, 18)",str,PES18,4.600000000886613,-9389.793009076207
"(20, 18)",str,PES19,4.700000000905888,-9385.389248702448
"(20, 54)",sq,PES06,0.5000000000963711,-9079.706350398481
"(20, 54)",sq,PES05,0.6000000001156452,-8828.987311375215
"(20, 54)",sq,PES04,0.7000000001349195,-8881.888993907443
"(20, 54)",sq,PES03,0.8000000001541935,-8936.3788394452
"(20, 54)",sq,PES02,0.9000000001734679,-8952.528933367319
"(20, 54)",sq,PES01,1.0000000001927418,-8999.980511708582
"(20, 54)",str,PES01,1.000000000192742,-8959.473508452178
"(20, 54)",str,PES02,1.1000000002120163,-8960.195756623805
"(20, 54)",str,PES03,1.2000000002312903,-8984.939818149245
"(20, 54)",str,PES04,1.3000000002505647,-8960.390102685811
"(20, 54)",str,PES05,1.400000000269839,-8990.106216442473
"(20, 54)",str,PES06,1.500000000289113,-8969.894517038321
"(20, 54)",str,PES07,1.6000000003083872,-8995.104448967128
"(20, 54)",str,PES08,1.7000000003276612,-9011.54712981449
"(20, 54)",str,PES09,1.8000000003469354,-8997.050586202606
"(20, 54)",str,PES10,1.9000000003662099,-8997.888924430199
"(20, 54)",str,PES11,2.000000000385484,-8999.052625029219
"(20, 54)",str,PES12,2.1000000004047585,-9032.449287495641
"(20, 54)",str,PES13,2.2000000004240325,-8989.8824552515
"(20, 54)",str,PES14,2.300000000443307,-9002.042997070957
"(20, 54)",str,PES15,2.400000000462581,-9046.75199179603
"(20, 54)",str,PES16,2.5000000004818546,-9047.014904856185
"(20, 54)",str,PES17,2.6000000005011294,-9047.19856148024
"(20, 54)",str,PES18,2.7000000005204035,-9047.278111487054
"(20, 54)",str,PES19,2.800000000539678,-9045.61144412471
"(20, 54)",str,PES20,2.9000000005589524,-9143.334406936143
"(20, 54)",str,PES21,3.0000000005782264,-9143.62420694939
"(31, 54)",sq,PES06,1.8000000003469354,-9364.002450268108
"(31, 54)",sq,PES05,1.9000000003662094,-9385.174896303148
"(31, 54)",sq,PES04,2.0000000003854836,-9382.390715180096
"(31, 54)",sq,PES03,2.100000000404758,-9394.784169191895
"(31, 54)",sq,PES02,2.2000000004240325,-9353.729802465985
"(31, 54)",sq,PES01,2.300000000443306,-9359.131786198648
"(31, 54)",str,PES01,2.3000000004433065,-9081.539187436136
"(31, 54)",str,PES02,2.4000000004625806,-9103.24930733657
"(31, 54)",str,PES03,2.5000000004818546,-9104.929386978461
"(31, 54)",str,PES04,2.600000000501129,-9088.02747525537
"(31, 54)",str,PES05,2.7000000005204026,-9125.587892275926
"(31, 54)",str,PES06,2.800000000539678,-9118.689937415384
"(31, 54)",str,PES07,2.900000000558952,-9200.621848318426
"(31, 54)",str,PES08,3.000000000578225,-9319.982535578816
"(31, 54)",str,PES09,3.1000000005975,-9304.584532124094
"(31, 54)",str,PES10,3.200000000616775,-9299.28703825163
"(31, 54)",str,PES11,3.300000000636049,-9295.178584218105
"(31, 54)",str,PES12,3.400000000655322,-9315.89883141126
"(31, 54)",str,PES13,3.500000000674597,-9325.608578401552
"(31, 54)",str,PES14,3.6000000006938713,-9305.183613495241
"(31, 54)",str,PES15,3.7000000007131457,-9369.500706240246
"(31, 54)",str,PES16,3.8000000007324193,-9373.641162944952
